Checklist Name,Control ID,Control Name,Control Description
ISO,4.1,"Understanding the organization and its context","The organization shall determine external and internal issues that are relevant to its purpose and that affect its ability to achieve the intended outcome(s) of its information security management system."
ISO,4.2.a,"Understanding the needs and expectations of interested parties - Management System","The organization shall determine the interested parties that are relevant to the information security management system."
ISO,4.2.b,"Understanding the needs and expectations of interested parties - Requirements","The organization shall determine the relevant requirements of these interested parties."
ISO,4.2.c,"Understanding the needs and expectations of interested parties - Information Security","The organization shall determine which of these requirements will be addressed through the information security management system. Note: The requirements of interested parties can include legal and regulatory requirements and contractual obligations."
ISO,4.3,"Information Security Scope Determination","The organization shall determine the boundaries and applicability of the information security management system to establish its scope. This scope shall be available as documented information."
ISO,4.3.a,"Information Security Scope Determination - External and Internal Issues","When determining the scope of the information security management system, the organization shall consider the external and internal issues."
ISO,4.3.b,"Information Security Scope Determination - Requirements of Interested Parties","When determining the scope of the information security management system the organization shall consider the requirements of interested parties."
ISO,4.3.c,"Information Security Scope Determination - Interfaces and Dependencies","When determining the scope of the information security management system, the organization shall consider interfaces and dependencies between activities performed by the organization, and those that are performed by other organizations."
ISO,4.4,"Information Security Management System","The organization shall establish, implement, maintain, and continually improve an information security management system, including the processes needed and their interactions, in accordance with the requirements of this International Standard."
ISO,5.1.a,"Leadership and Commitment - Establish Policy","Top management shall demonstrate leadership and commitment with respect to the information security management system by ensuring the information security policy and the information security objectives are established and are compatible with the strategic direction of the organization."
ISO,5.1.b,"Leadership and Commitment - Integration","Top management shall demonstrate leadership and commitment with respect to the information security management system by ensuring the integration of the information security management system requirements into the organization’s processes."
ISO,5.1.c,"Leadership and Commitment - Resources","Top management shall demonstrate leadership and commitment with respect to the information security management system by ensuring that the resources needed for the information security management system are available."
ISO,5.1.d,"Leadership and Commitment - Communication","Top management shall demonstrate leadership and commitment with respect to the information security management system by communicating the importance of effective information security management and of conforming to the information security management system requirements."
ISO,5.1.e,"Leadership and Commitment - Achievement","Top management shall demonstrate leadership and commitment with respect to the information security management system by ensuring the information security management system achieves its intended outcome(s)."
ISO,5.1.f,"Leadership and Commitment - Support","Top management shall demonstrate leadership and commitment with respect to the information security management system by directing and supporting persons to contribute to the effectiveness of the information security management system."
ISO,5.1.g,"Leadership and Commitment - Continual Improvement","Top management shall demonstrate leadership and commitment with respect to the information security management system by promoting continual improvement."
ISO,5.1.h,"Leadership and Commitment - Demonstrate","Top management shall demonstrate leadership and commitment with respect to the information security management system by supporting other relevant management roles to demonstrate their leadership as it applies to their areas of responsibility."
ISO,"5.2.a, 2.b, 2.c, 2.d, 2.e","Policy Establishment - Appropriateness, Objectives, Commitment to Satisfy, Commitment to Continually Improve, Documented","Top management shall establish an information security policy that is appropriate to the purpose of the organization, includes information security objectives or provides the framework for setting information security objectives, includes a commitment to satisfy applicable requirements related to information security, and includes a commitment to the continual improvement of the information security management system. The information security policy shall be available as documented information."
ISO,5.2.f,"Policy Establishment - Communication","The information security policy shall be communicated within the organization."
ISO,5.2.g,"Policy Establishment - Availability to Others","The information security policy shall be available to interested parties, as appropriate."
ISO,5.3,"Roles, Responsibilities, and Authorities","Top management shall ensure that the responsibilities and authorities for roles relevant to information security are assigned and communicated within the organization."
ISO,5.3.a,"Roles, Responsibilities, and Authorities - Conformity","Top management shall assign responsibility and authority for ensuring that the information security management system conforms to the requirements of ISO 27001."
ISO,5.3.b,"Roles, Responsibilities, and Authorities - Reporting","Top management shall assign the responsibility and authority for reporting on the performance of the information security management system to top management. Note: Top management can also assign responsibilities and authorities for reporting performance of the information security management system within the organization."
ISO,"6.1.1.a, 1.1.b, 1.1.c","Address Risks and Opportunities - Planning For Success, Reduce Undesired Effects, Achieve Continual Improvement","When planning for the information security management system, the organization shall consider the internal and external issues and needs or expectations of interested parties, and determine the risks and opportunities that need to be addressed to ensure the information security management system can achieve its intended outcome(s), prevent, or reduce, undesired effects, and achieve continual improvement."
ISO,6.1.1.d,"Address Risks and Opportunities - Plan to Address Risks","When planning for the information security management system, the organization shall plan actions to address risks and opportunities."
ISO,6.1.1.e.1,"Address Risks and Opportunities - Plan to Integrate Actions","When planning for the information security management system, the organization shall plan how to integrate and implement the actions into its information security management system processes."
ISO,6.1.1.e.2,"Address Risks and Opportunities - Plan to Evaluate","When planning for the information security management system, the organization shall plan how to evaluate the effectiveness of these actions."
ISO,"6.1.2.a.1, 1.2.a.2, 1.2.b, 1.2.c.1, 1.2.c.2","Information Security Risk Assessment - Risk Identification","The organization shall define and apply an information security risk assessment process that establishes and maintains information security risk criteria that include the risk acceptance criteria and criteria for performing information security risk assessments. The process shall also ensure that repeated information security risk assessments produce consistent, valid and comparable results, identifies the information security risks associated with the loss of confidentiality, integrity and availability for information within the scope of the information security management system, and identifies risk owners. The organization shall retain documented information about the information security risk assessment process."
ISO,"6.1.2.d.1, 1.2.d.2, 1.2.d.3","Information Security Risk Assessment - Risk Analysis","The organization shall define and apply an information security risk assessment process to assess the potential consequences that would result if the identified risks identified were to materialize, assess the realistic likelihood of the occurrence of the risks identified, and determine the levels of risks."
